,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,slopes10,vol_gt2,macd_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,date,uptrend,dates1,min_Close,max_Close,Buy_n,Buy_loss_limit,Sell_n,Sell_loss_limit,Sell_n_f,Buy_n_f,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
0,2022-11-05 00:00:00,10747.0,10747.0,10732.5,10732.5,526495.6470588235,,,,,0,0,,n,n,n,n,n,n,2022-11-05 00:00:00,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
1,2022-11-05 00:01:00,10732.25,10733.75,10717.0,10717.0,528725.7272727273,,,,,0,0,,n,n,n,n,n,n,,False,,,10717.0,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
2,2022-11-05 00:02:00,10717.0,10722.75,10711.25,10715.25,531979.3333333334,,,,,0,0,,n,n,n,n,n,n,,False,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
3,2022-11-05 00:03:00,10715.25,10715.25,10703.0,10704.0,534497.1142857143,,,,,0,0,,n,n,n,n,n,n,2022-11-05 00:03:00,False,2022-11-05T00:00:00,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
4,2022-11-05 00:04:00,10704.0,10726.25,10702.75,10720.5,537460.9705882353,,,,,0,0,,n,n,n,n,n,n,,True,,10720.5,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
5,2022-11-05 00:05:00,10720.0,10731.0,10720.0,10731.0,539712.3529411765,,,,,0,0,,n,n,n,n,n,n,2022-11-05 00:05:00,True,2022-11-05T00:03:00,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
6,2022-11-05 00:06:00,10729.75,10732.75,10722.75,10725.5,541553.5945945946,,,,,0,0,,n,n,n,n,n,n,,False,,,10725.5,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
7,2022-11-05 00:07:00,10725.5,10729.5,10723.0,10726.25,542940.4857142858,,,,,0,0,,n,n,n,n,n,n,,False,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
8,2022-11-05 00:08:00,10724.75,10724.75,10713.5,10718.25,544249.6666666666,,,,,0,0,,n,n,n,n,n,n,,False,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
9,2022-11-05 00:09:00,10721.25,10723.0,10702.5,10705.25,545965.5882352941,,,,,0,0,-32.84040427147348,n,n,n,n,n,n,,False,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
