,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,vol_gt2,macdh_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,last_max_20s1,last_min_20s1,cum_max,cum_maxs1,cum_min,cum_mins1,cum_min_mins,cum_max_maxs,max_Close_x,max_Close_fill,min_Close,min_Close_fill,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,max_Close_y,Buy,Sell
0,2022-08-31 10:03:00,12408.25,12408.25,12408.25,12408.25,15519.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12408.25,,12408.25,,12408.25,12408.25,,,,,NaN,NaN,0,0,0,,,,1,1,,NaN,NaN
1,2022-08-31 10:04:00,12407.25,12407.25,12407.25,12407.25,15594.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12408.25,12408.25,12407.25,12408.25,12407.25,nan,,,,,NaN,NaN,0,0,0,,,,1,2,,NaN,NaN
2,2022-08-31 10:05:00,12410.75,12410.75,12410.75,12410.75,15668.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12410.75,12408.25,12407.25,12407.25,nan,12410.75,,,,,NaN,NaN,0,0,0,,,,1,3,,NaN,NaN
3,2022-08-31 10:06:00,12411.75,12411.75,12411.75,12411.75,15713.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12411.75,12410.75,12407.25,12407.25,nan,12411.75,,,,,NaN,NaN,0,0,0,,,,1,4,,NaN,NaN
4,2022-08-31 10:07:00,12409.5,12409.5,12409.5,12409.5,15754.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12411.75,12411.75,12407.25,12407.25,nan,nan,,,,,NaN,NaN,0,0,0,,,,1,5,,NaN,NaN
5,2022-08-31 10:08:00,12407.5,12407.5,12407.5,12407.5,15816.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12411.75,12411.75,12407.25,12407.25,nan,nan,,,,,NaN,NaN,0,0,0,,,,1,6,,NaN,NaN
6,2022-08-31 10:09:00,12410.0,12410.0,12410.0,12410.0,15837.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12411.75,12411.75,12407.25,12407.25,nan,nan,,,,,NaN,NaN,0,0,0,,,,1,7,,NaN,NaN
7,2022-08-31 10:10:00,12414.0,12414.0,12414.0,12414.0,15901.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12414.0,12411.75,12407.25,12407.25,nan,12414.0,12417.25,12417.25,12412.0,12412.0,NaN,NaN,0,0,0,,,,1,8,12417.25,NaN,NaN
8,2022-08-31 10:11:00,12413.25,12413.25,12413.25,12413.25,15942.0,,,,,0,0,,,,,,,,n,n,n,n,n,n,,,12414.0,12414.0,12407.25,12407.25,nan,nan,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,9,,NaN,NaN
9,2022-08-31 10:12:00,12414.75,12414.75,12414.75,12414.75,16001.0,,,,,0,0,12410.7,,,33.56969841837246,,,,n,n,n,n,n,n,,,12414.75,12414.0,12407.25,12407.25,nan,12414.75,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,10,,NaN,NaN
10,2022-08-31 10:13:00,12416.0,12416.0,12416.0,12416.0,16063.0,,,,,0,0,12411.475,,,38.28734836642794,,33.56969841837246,,n,n,n,n,n,n,,,12416.0,12414.75,12407.25,12407.25,nan,12416.0,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,11,,NaN,NaN
11,2022-08-31 10:14:00,12417.25,12417.25,12417.25,12417.25,16132.0,,,,,0,0,12412.475,,,39.44506307986453,,38.28734836642794,,n,n,n,n,n,n,,,12417.25,12416.0,12407.25,12407.25,nan,12417.25,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,12,,NaN,NaN
12,2022-08-31 10:15:00,12416.25,12416.25,12416.25,12416.25,16235.0,,,,,0,0,12413.025,,,42.415958143643145,,39.44506307986453,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,13,,NaN,NaN
13,2022-08-31 10:16:00,12415.25,12415.25,12415.25,12415.25,16295.0,,,,,0,0,12413.375,,,43.53119928561418,,42.415958143643145,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,14,,NaN,NaN
14,2022-08-31 10:17:00,12412.0,12412.0,12412.0,12412.0,16385.0,,,,57.14285714285714,0,0,12413.625,,,31.660751096636602,,43.53119928561418,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,15,,NaN,NaN
15,2022-08-31 10:18:00,12414.0,12414.0,12414.0,12414.0,16451.0,,,,60.39268788083953,0,0,12414.275,,,12.886786934531234,,31.660751096636602,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,16,,NaN,NaN
16,2022-08-31 10:19:00,12413.25,12413.25,12413.25,12413.25,16480.0,,,,58.59821112739401,0,0,12414.6,,,-6.397354127522796,,12.886786934531234,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12417.25,,12412.0,NaN,NaN,0,0,0,,,,1,17,,NaN,NaN
17,2022-08-31 10:20:00,12411.75,12411.75,12411.75,12411.75,16538.0,,,,55.073596837655856,0,0,12414.375,,,-17.09662848147821,,-6.397354127522796,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,12415.0,12415.0,12409.0,12409.0,NaN,NaN,0,0,0,,,,1,18,12415.0,NaN,NaN
18,2022-08-31 10:21:00,12409.0,12409.0,12409.0,12409.0,16637.0,,,,49.22755855450547,0,0,12413.95,,,-34.04915893542948,,-17.09662848147821,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12415.0,,12409.0,NaN,NaN,0,0,0,,,,1,19,,NaN,NaN
19,2022-08-31 10:22:00,12409.75,12409.75,12409.75,12409.75,16691.0,,,,50.76262218755083,0,0,12413.45,12412.075,,-40.41489762149137,10.395804105566162,-34.04915893542948,,n,n,n,n,n,n,,,12417.25,12417.25,12407.25,12407.25,nan,nan,,12415.0,,12409.0,NaN,NaN,0,0,0,,,,1,20,,NaN,NaN
20,2022-08-31 10:23:00,12412.0,12412.0,12412.0,12412.0,16757.0,,,,55.14412970338542,0,0,12413.05,12412.2625,,-37.256838658084426,6.9552869331540785,-40.41489762149137,10.395804105566162,n,n,n,n,n,n,12417.25,12407.25,12417.25,12417.25,12407.25,12407.25,nan,nan,,12415.0,,12409.0,NaN,NaN,0,0,0,,,,1,21,,NaN,NaN
21,2022-08-31 10:24:00,12411.0,12411.0,12411.0,12411.0,16810.0,,,,52.89136623126933,0,0,12412.425,12412.45,,-30.643528592638113,1.4213329773494916,-37.256838658084426,6.9552869331540785,n,n,n,n,n,n,12417.25,12407.25,12417.25,12417.25,12407.25,12407.25,nan,nan,,12415.0,,12409.0,NaN,NaN,0,0,0,,,,1,22,,NaN,NaN
